"ID";"Watergebruikers";"Perioden";"TotaalOppervlaktewater_7";"ZoetOppervlaktewater_8";"ZoutOppervlaktewater_9"
"77";"305700 ";"2008JJ00";"35.5";"0.8";"34.7"
"78";"305700 ";"2009JJ00";"36.4";"0.8";"35.7"
"79";"305700 ";"2010JJ00";"28";"0.7";"27.3"
"80";"305700 ";"2011JJ00";"36.6";"0.8";"35.9"
"81";"305700 ";"2012JJ00";"30.4";"0.7";"29.7"
"82";"305700 ";"2013JJ00";"25.1";"0.7";"24.4"
"83";"305700 ";"2014JJ00";"31.9";"0.7";"31.2"
"84";"305700 ";"2015JJ00";"34";"0.7";"33.3"
"85";"305700 ";"2016JJ00";"33.2";"0.7";"32.5"
"86";"305700 ";"2017JJ00";"35.3";"0.7";"34.6"
"87";"305700 ";"2018JJ00";"36.2";"0.8";"35.4"
"88";"305700 ";"2019JJ00";"27.7";"0";"27.7"
"89";"305700 ";"2020JJ00";"29.1";"2.4";"26.7"
"90";"307500 ";"2003JJ00";"3716";"2911.4";"804.5"
"91";"307500 ";"2004JJ00";"3653.7";"2857.2";"796.4"
"92";"307500 ";"2005JJ00";"3188.9";"2479.6";"709.4"
"93";"307500 ";"2006JJ00";"3229.1";"2528.9";"700.2"
"94";"307500 ";"2007JJ00";"3212.5";"2527.8";"684.7"
"95";"307500 ";"2008JJ00";"3347.9";"2745.5";"602.5"
"96";"307500 ";"2009JJ00";"3669.5";"3073.1";"596.5"
"97";"307500 ";"2010JJ00";"3368.6";"2738.9";"629.7"
"98";"307500 ";"2011JJ00";"3407.8";"2787.1";"620.7"
"99";"307500 ";"2012JJ00";"3452.5";"2837.1";"615.4"
"100";"307500 ";"2013JJ00";"3312.8";"2696.5";"616.3"
"101";"307500 ";"2014JJ00";"3012.7";"2381.2";"631.5"
"102";"307500 ";"2015JJ00";"2697.6";"2082.4";"615.2"
"103";"307500 ";"2016JJ00";"3007.3";"2396.9";"610.4"
"104";"307500 ";"2017JJ00";"2999.1";"2390.7";"608.4"
"105";"307500 ";"2018JJ00";"2980";"2326.1";"653.9"
"106";"307500 ";"2019JJ00";"2906.3";"2285.2";"621.1"
"107";"307500 ";"2020JJ00";"2976.5";"2307.6";"669"
"540";"346600 ";"2003JJ00";"9169.6";"6116.5";"3053"
"541";"346600 ";"2004JJ00";"10202.1";"6253.4";"3948.8"
"542";"346600 ";"2005JJ00";"9791";"6644.7";"3146.3"
"543";"346600 ";"2006JJ00";"9272.3";"6046.9";"3225.4"
"544";"346600 ";"2007JJ00";"9387.8";"6066.8";"3321"
"545";"346600 ";"2008JJ00";"9044.6";"5695.1";"3349.5"
"546";"346600 ";"2009JJ00";"9665.2";"6330";"3335.2"
"547";"346600 ";"2010JJ00";"9693.3";"6142.3";"3551"
"548";"346600 ";"2011JJ00";"9023.5";"5355";"3668.5"
"549";"346600 ";"2012JJ00";"9602.6";"5962.4";"3640.2"
"550";"346600 ";"2013JJ00";"10394.7";"5939";"4455.7"
"551";"346600 ";"2014JJ00";"10358.9";"5092.6";"5266.3"
"552";"346600 ";"2015JJ00";"10999.4";"4342.3";"6657.2"
"553";"346600 ";"2016JJ00";"10377.6";"3585";"6792.6"
"554";"346600 ";"2017JJ00";"9613.6";"3582.5";"6031"
"555";"346600 ";"2018JJ00";"8868.4";"3366";"5502.4"
"556";"346600 ";"2019JJ00";"9365.4";"3766.7";"5598.7"
"557";"346600 ";"2020JJ00";"8742.3";"3520.3";"5221.9"
"558";"348000 ";"2003JJ00";"1075.5";"1075.5";"0"
"559";"348000 ";"2004JJ00";"1069.2";"1069.2";"0"
"560";"348000 ";"2005JJ00";"1003.3";"1003.3";"0"
"561";"348000 ";"2006JJ00";"1053.5";"1053.5";"0"
"562";"348000 ";"2007JJ00";"1001.1";"1001.1";"0"
"563";"348000 ";"2008JJ00";"962.6";"962.6";"0"
"564";"348000 ";"2009JJ00";"921";"918.1";"2.9"
"565";"348000 ";"2010JJ00";"1025.5";"1023.4";"2.1"
"566";"348000 ";"2011JJ00";"1026.8";"1025.2";"1.6"
"567";"348000 ";"2012JJ00";"987.2";"984.6";"2.6"
"568";"348000 ";"2013JJ00";"1013.2";"1011.2";"2"
"569";"348000 ";"2014JJ00";"979.2";"978.1";"1.1"
"570";"348000 ";"2015JJ00";"999";"997.4";"1.6"
"571";"348000 ";"2016JJ00";"1037.3";"1035.2";"2.1"
"572";"348000 ";"2017JJ00";"904.8";"903.4";"1.4"
"573";"348000 ";"2018JJ00";"1141.1";"1132.7";"8.4"
"574";"348000 ";"2019JJ00";"1155.1";"1153.2";"1.9"
"575";"348000 ";"2020JJ00";"1213.3";"1211.7";"1.6"
"648";"350000 ";"2003JJ00";;;
"649";"350000 ";"2004JJ00";;;
"650";"350000 ";"2005JJ00";;;
"651";"350000 ";"2006JJ00";;;
"652";"350000 ";"2007JJ00";;;
"653";"350000 ";"2008JJ00";;;
"654";"350000 ";"2009JJ00";;;
"655";"350000 ";"2010JJ00";;;
"656";"350000 ";"2011JJ00";;;
"657";"350000 ";"2012JJ00";;;
"658";"350000 ";"2013JJ00";;;
"659";"350000 ";"2014JJ00";;;
"660";"350000 ";"2015JJ00";;;
"661";"350000 ";"2016JJ00";;;
"662";"350000 ";"2017JJ00";;;
"663";"350000 ";"2018JJ00";;;
"664";"350000 ";"2019JJ00";;;
"665";"350000 ";"2020JJ00";;;
"666";"354200 ";"2003JJ00";;;
"667";"354200 ";"2004JJ00";;;
"668";"354200 ";"2005JJ00";;;
"669";"354200 ";"2006JJ00";;;
"670";"354200 ";"2007JJ00";;;
"671";"354200 ";"2008JJ00";;;
"672";"354200 ";"2009JJ00";;;
"673";"354200 ";"2010JJ00";;;
"674";"354200 ";"2011JJ00";;;
"675";"354200 ";"2012JJ00";;;
"676";"354200 ";"2013JJ00";;;
"677";"354200 ";"2014JJ00";;;
"678";"354200 ";"2015JJ00";;;
"679";"354200 ";"2016JJ00";;;
"680";"354200 ";"2017JJ00";;;
"681";"354200 ";"2018JJ00";;;
"682";"354200 ";"2019JJ00";;;
"683";"354200 ";"2020JJ00";;;
"684";"383100 ";"2003JJ00";;;
"685";"383100 ";"2004JJ00";;;
"686";"383100 ";"2005JJ00";;;
"687";"383100 ";"2006JJ00";;;
"688";"383100 ";"2007JJ00";;;
"689";"383100 ";"2008JJ00";;;
"690";"383100 ";"2009JJ00";;;
"691";"383100 ";"2010JJ00";;;
"692";"383100 ";"2011JJ00";;;
"693";"383100 ";"2012JJ00";;;
"694";"383100 ";"2013JJ00";;;
"695";"383100 ";"2014JJ00";;;
"696";"383100 ";"2015JJ00";;;
"697";"383100 ";"2016JJ00";;;
"698";"383100 ";"2017JJ00";;;
"699";"383100 ";"2018JJ00";;;
"700";"383100 ";"2019JJ00";;;
"701";"383100 ";"2020JJ00";;;
"702";"389100 ";"2003JJ00";;;
"703";"389100 ";"2004JJ00";;;
"704";"389100 ";"2005JJ00";;;
"705";"389100 ";"2006JJ00";;;
"706";"389100 ";"2007JJ00";;;
"707";"389100 ";"2008JJ00";;;
"708";"389100 ";"2009JJ00";;;
"709";"389100 ";"2010JJ00";;;
"710";"389100 ";"2011JJ00";;;
"711";"389100 ";"2012JJ00";;;
"712";"389100 ";"2013JJ00";;;
"713";"389100 ";"2014JJ00";;;
"714";"389100 ";"2015JJ00";;;
"715";"389100 ";"2016JJ00";;;
"716";"389100 ";"2017JJ00";;;
"717";"389100 ";"2018JJ00";;;
"718";"389100 ";"2019JJ00";;;
"719";"389100 ";"2020JJ00";;;
